id,prediction
1,6779755.135015725
2,5084944.912843229
3,3766027.67547405
4,7464703.818246152
5,27978340.24513527
6,7029720.2723342655
7,4661528.42265984
8,3365421.469816333
9,7082903.738670393
10,9710595.744065333
11,6192454.49975757
12,11637224.508245714
13,5758440.593637361
14,3713980.676767967
15,5580642.286128623
16,7806063.348523186
17,14022037.016220236
18,3666403.2158565638
19,6033500.47287382
20,4074535.7828701385
21,4213724.427267073
22,10721170.381863764
23,7362317.830808002
24,6849559.454988822
25,6343429.295346656
26,5101704.728698587
27,13390207.49610668
28,7458930.160181824
29,3544824.6362229297
30,5424897.9747720575
31,7583391.554713902
32,7724633.8813782055
33,6674122.327741841
34,3264732.852517867
35,19612426.980351113
36,6183180.641062965
37,4738627.223925313
38,4852447.305263871
39,11682922.413762001
40,43036461.25924582
41,7587186.22946265
42,7493853.419639254
43,6631224.997365024
44,8207939.840022643
45,5622590.142249921
46,6754395.949515264
47,6429444.895906467
48,5822868.224826903
49,7000133.069075056
50,5027327.617691265
51,5103618.022707277
52,5405311.839519752
53,6275124.657536797
54,7683155.803320615
55,6266431.731156337
56,6383305.766767518
57,9286931.999012318
58,5733451.8890721295
59,7590637.842430571
60,6098988.334790224
61,11171156.230247505
62,4523639.15718107
63,6796336.8069948815
64,5526773.520766754
65,4661452.9695636695
66,6202277.746634009
67,11664898.272154327
68,4829472.167181722
69,3477569.228412337
70,7119298.155079103
71,5534074.40236701
72,7664659.535677304
73,7330211.385713163
74,6751452.880981348
75,8885873.23657779
76,3900833.2923761355
77,7234637.976962315
78,4932080.381973507
79,6782403.622277185
80,5032019.524138969
81,6673017.687535238
82,6104150.665953491
83,2528115.617665168
84,10772320.989015823
85,6270152.430736277
86,5080383.428080829
87,5779121.852946215
88,7544023.791804249
89,6986859.954951373
90,5828629.746531421
91,5006446.062969836
92,4939910.419742377
93,5594856.01380799
94,5444963.641752374
95,6285919.775300505
96,5668533.6994653875
97,4818591.874849674
98,6962004.6139275
99,6891370.291989772
100,9080554.644319754
101,6828394.85991221
102,8043577.642999345
103,4876188.691305381
104,6191786.516110199
105,5743169.422069422
106,5571374.593842632
107,4713479.324522901
108,15722998.088947434
109,4979098.441198902
110,4468111.412110404
111,4830273.2316673845
112,6078901.6730334265
113,5234089.160969924
114,10846112.978139495
115,5651322.622351099
116,8781695.481585035
117,7679505.481689815
118,5581737.524484478
119,3278740.1550929085
120,6814366.818325132
121,6436208.970315862
122,5541424.173199127
123,8681175.339277495
124,6703364.509105484
125,4688295.054557822
126,5976169.82574939
127,4952700.255121534
128,6207589.703725225
129,4486794.08207655
130,8982064.550454324
131,4939004.27943582
132,5649320.534030357
133,7496217.70948217
134,3824706.5842481367
135,6462416.095993044
136,5468953.928056503
137,12323870.760228604
138,7316328.342498322
139,3370947.9924165574
140,9089242.741899
141,3939778.238829574
142,5705708.994470245
143,5705653.946196945
144,7138096.8246725155
145,8011010.430320949
146,5660146.838039544
147,8374797.58975492
148,14923422.808402894
149,6108197.852296139
150,10168016.644672126
151,4687031.927366942
152,4671863.83533837
153,19781653.096488204
154,7295228.798576801
155,17915995.170625143
156,8720946.288366202
157,6015017.010709446
158,4909451.724474376
159,9221528.71464437
160,3610214.8803934897
161,4914054.6832670355
162,9411015.90385174
163,4868622.978697685
164,6447347.177695531
165,5224881.596165513
166,9609714.11332285
167,8598975.692045882
168,6648235.0994119765
169,9566160.305331994
170,5310290.1452176245
171,4657092.894290199
172,5374308.003461673
173,6248179.139424831
174,7837066.673920429
175,5007959.401386306
176,10965196.435420983
177,6610936.844006183
178,7299433.345089338
179,14406865.073880862
180,6718714.245382278
181,5417325.075566977
182,7522770.204524258
183,5577926.645203744
184,5967852.188341901
185,6751927.979019356
186,4972268.590854919
187,22006285.912469294
188,4443890.23144696
189,5203407.474761126
190,5228688.390663229
191,5975734.054339322
192,13982985.510336023
193,19603680.25796296
194,3662242.9565393734
195,8076742.370499463
196,7475610.848494119
197,6666239.778171107
198,5894719.852253255
199,5184342.653835808
200,4893282.672420601
201,5803563.669817022
202,16161094.509459855
203,4199883.430248079
204,10285989.435006332
205,5656055.126985839
206,12340841.342508331
207,5305613.149897455
208,8022349.302737933
209,17556145.21642681
210,8986015.528013067
211,4937066.482594467
212,4172639.5794636565
213,6948275.400038394
214,9948351.036297347
215,4019900.308933471
216,3816968.3036325956
217,6580040.731419727
218,8180995.534729248
219,2744090.2324348013
220,2359756.535902945
221,6920538.797829745
222,7863571.526016347
223,4722234.47978848
224,4828903.178064633
225,15438370.248939978
226,8159731.843417847
227,6046215.166545953
228,6363268.930083877
229,7546739.49656111
230,11690899.425008038
231,7733866.740262319
232,5916517.596436718
233,6135870.712161804
234,4951510.831806637
235,9460375.255302023
236,4655005.567856772
237,4467385.242620428
238,6466706.899943323
239,8360803.60629863
240,9055728.611940697
241,6571413.080418252
242,6322190.261054828
243,5972583.174554676
244,4353458.104874642
245,6581045.0569484215
246,5535756.134011589
247,6389223.579551885
248,8768932.528070036
249,4336911.843240729
250,4075464.8912465763
251,6269011.3519956935
252,4346259.784122958
253,4932122.713156242
254,7180208.829926566
255,5195894.602380269
256,6159131.163256405
257,11329941.836033864
258,4447514.007243104
259,4915133.648387058
260,5809771.200423491
261,2315205.9033903535
262,4536957.930949591
263,14456809.418057645
264,7318909.220325451
265,5805290.769399514
266,12937149.114410097
267,5239506.445825903
268,8324368.225465748
269,4406879.152198078
270,9514742.402536748
271,13363786.511327745
272,4269096.670916276
273,3690846.647115762
274,5046646.074281527
275,6491010.412331405
276,7377256.574202648
277,3739116.050230835
278,9131380.193706304
279,6066797.422505904
280,7961535.555583741
281,10175063.293711355
282,5978930.79759859
283,4765089.382893519
284,5490342.433080315
285,3468838.453862815
286,5049083.441827576
287,10175765.470913101
288,5531750.113553014
289,12907124.185907617
290,6864750.494960957
291,6347867.740869604
292,5199745.452852101
293,3952071.674591483
294,4294699.062198183
295,4596595.707178056
296,4951919.491945613
297,3183678.9389980747
298,9084177.448049115
299,12184262.951570366
300,3320389.0509408
301,6175492.900391311
302,5013681.2301622555
303,3972158.4298913134
304,5457632.705587566
305,6734474.032873161
306,4827874.994689084
307,5829024.197313087
308,4713790.044597829
309,11590244.020429064
310,7293509.446923203
311,6086433.609003528
312,5104300.298248329
313,6337381.557674758
314,7578864.020795506
315,5907098.871030008
316,7148140.122339125
317,10085871.641729023
318,8684199.810300382
319,6828410.765324006
320,5319531.353938541
321,4576233.205558881
322,6627151.338212284
323,11289663.281943126
324,5920092.795007298
325,3951442.3124527247
326,5998522.212774738
327,7148487.589759406
328,4310332.6830524895
329,3467869.2386423848
330,7315596.448979602
331,5011496.982795462
332,14154586.556366883
333,6672671.622497975
334,5368334.625731948
335,4696972.617025555
336,8150346.436994747
337,5263162.676435483
338,15099906.805531045
339,5737970.012702444
340,5170205.092100555
341,5289019.562901452
342,4655234.79477749
343,3916468.0543289217
344,7339126.956639526
345,6682727.454118868
346,5726939.383420308
347,5069869.227994903
348,14399292.36201754
349,6580885.916966417
350,14875606.656364137
351,7487819.158412435
352,5834493.848282425
353,6723603.719954965
354,12622434.306346012
355,8429553.126430532
356,3956547.6863536737
357,6755529.057190767
358,3757630.215469676
359,5274732.605766047
360,4004882.4506674367
361,6086485.336234983
362,7063403.2018134985
363,5346032.735132772
364,14464582.778247876
365,26179966.407975845
366,7715699.231339712
367,6199885.078502286
368,11418296.339223979
369,15819075.821882885
370,6188249.909445616
371,11155590.472107755
372,4162758.187528008
373,6793841.088110825
374,6450628.540293188
375,5947955.963932107
376,2965139.3106264304
377,5527659.362219248
378,6039689.769387916
379,5477827.2612109985
380,6598752.011541832
381,5455834.592120312
382,5063904.600812496
383,5455523.635677108
384,7423172.000381393
385,3887531.8301060204
386,1949189.8184327243
387,6676758.74157644
388,3164118.244915358
389,11364224.557980761
390,8005497.056336203
391,3881448.6482480536
392,5282928.581614215
393,4484325.345597549
394,3597014.0520235463
395,5644131.157486324
396,11215466.458088463
397,8461218.23626296
398,9129885.286212819
399,6685487.810525902
400,5887592.575820341
401,4884028.636167016
402,7073092.980283981
403,25290648.80613451
404,4361149.178793563
405,5506399.585425117
406,7327251.251005111
407,5272331.062845342
408,9885848.534736063
409,6508047.528734313
410,5062078.640968528
411,3893112.790406704
412,4580035.755693307
413,5584361.389976455
414,5772470.290434196
415,7706554.6695634
416,10084056.921361297
417,6928444.178352248
418,4628449.468647919
419,5644905.791441652
420,5809017.812517646
421,11513133.935699092
422,6293139.605189905
423,4456593.62975815
424,5823567.010794737
425,2748943.890178816
426,5438019.935616678
427,5209353.884266788
428,5314358.812734523
429,2290075.0541698695
430,5166013.615544356
431,7842451.055021651
432,6247320.195497157
433,4466177.422264459
434,5327283.53162786
435,2918194.415016613
436,5876588.91340269
437,6338548.597959225
438,4759546.266063499
439,6144259.428294663
440,5999205.499507439
441,13032977.125367751
442,6487145.331749862
443,10908662.246988904
444,4917399.628617211
445,6121065.524972363
446,5467818.888237175
447,7788654.182155413
448,4886531.430071472
449,9230518.177838348
450,6603586.746104993
451,4462250.625883218
452,9527193.85824384
453,5237436.812080666
454,7991806.634874031
455,5076216.728644575
456,5532548.325254718
457,10305057.504404444
458,9095429.997978242
459,6567134.824510339
460,6066949.241955937
461,9860146.017154599
462,3984247.2564955615
463,4845444.902730572
464,6019063.889598425
465,8335263.352989597
466,12562344.661989737
467,11849213.03221052
468,6278135.823446745
469,3665645.0605519847
470,5410016.613398797
471,6529904.567464916
472,5519389.863600963
473,5948496.037733201
474,5254122.839963807
475,8950390.353933705
476,6225548.102974896
477,6764365.890349943
478,8992811.902210604
479,6712805.941573959
480,6940349.3460634425
481,7092500.484329025
482,7306561.296665515
483,6122584.0904401
484,3300975.4086921546
485,10946588.548728783
486,16851689.624474265
487,7050241.272914275
488,6292833.842114118
489,5798365.833975736
490,8798511.973773059
491,7406340.524223414
492,8515484.871403232
493,9419280.050211564
494,5251734.429831071
495,6113098.064626102
496,11220380.679632012
497,9344623.945727216
498,7658084.763706711
499,4394841.439374692
500,3818773.08428821
501,4950836.283302987
502,10227537.715503648
503,7467191.041714566
504,3715379.2887117863
505,7394307.950383559
506,4582218.2187233325
507,14871038.02621524
508,4369551.630636592
509,10166517.577968424
510,10110872.64610993
511,6054264.423476609
512,5377346.043939389
513,12929687.801610228
514,5563775.210383205
515,9416219.8803935
516,10219229.283491915
517,5472987.690827624
518,4227560.572624561
519,8017969.396598301
520,4268491.81105315
521,6698313.609434598
522,4949120.165470128
523,5157801.839927441
524,5298758.381037386
525,6258218.971913736
526,5544079.352047987
527,5312951.66693694
528,7207377.384263394
529,6034121.861544853
530,7774960.8600302655
531,2942273.8426642073
532,5658899.977532823
533,4530928.884027547
534,4899003.435453636
535,3608036.827920166
536,7836330.20222801
537,4383666.701686269
538,4923985.015264369
539,4989325.4757248545
540,7516642.553259676
541,6219305.926420279
542,2889306.209275066
543,4875886.035210307
544,4821880.04551398
545,4255557.812129847
546,9434678.181076946
547,8009279.504237963
548,6679817.101966808
549,6001332.149494965
550,5303374.078787098
551,5172671.561219941
552,8684853.536817428
553,6411657.221185541
554,3812086.050049692
555,9442384.029530568
556,7436601.079440595
557,7097787.275444277
558,6007849.21366319
559,15689206.029802654
560,6917395.5533925425
561,8778998.896409865
562,6115655.997687137
563,4271880.285721085
564,5373811.046585053
565,6080632.701256523
566,13976479.214825962
567,5826899.3603231795
568,6092053.511441471
569,5756674.445921974
570,5428773.77835108
571,12867643.610168876
572,6004869.391092582
573,6619166.813305601
574,7646191.267039473
